preamble,itemnum,condition,the,and,adj,group
scissors,1,BP,FALSE,FALSE,FALSE,A
stains and scissors,1,BPand,FALSE,TRUE,FALSE,B
blunt scissors,1,AdjBP,FALSE,FALSE,TRUE,C
ghastly stains and blunt scissors,1,AdjBPand,FALSE,TRUE,TRUE,D
the scissors,1,theBP,TRUE,FALSE,FALSE,E
the stains and the scissors,1,theBPand,TRUE,TRUE,FALSE,F
the blunt scissors,1,theAdjBP,TRUE,FALSE,TRUE,G
the ghastly stains and the blunt scissors,1,theAdjBPand,TRUE,TRUE,TRUE,H
tables,2,BP,FALSE,FALSE,FALSE,H
funerals and tables,2,BPand,FALSE,TRUE,FALSE,A
cozy tables,2,AdjBP,FALSE,FALSE,TRUE,B
hasty funerals and cozy tables,2,AdjBPand,FALSE,TRUE,TRUE,C
the tables,2,theBP,TRUE,FALSE,FALSE,D
the funerals and the tables,2,theBPand,TRUE,TRUE,FALSE,E
the cozy tables,2,theAdjBP,TRUE,FALSE,TRUE,F
the hasty funerals and the cozy tables,2,theAdjBPand,TRUE,TRUE,TRUE,G
doors,3,BP,FALSE,FALSE,FALSE,B
doors and debts,3,BPand,FALSE,TRUE,FALSE,C
solid doors,3,AdjBP,FALSE,FALSE,TRUE,D
solid doors and huge debts,3,AdjBPand,FALSE,TRUE,TRUE,E
the doors,3,theBP,TRUE,FALSE,FALSE,F
the doors and the debts,3,theBPand,TRUE,TRUE,FALSE,G
the solid doors,3,theAdjBP,TRUE,FALSE,TRUE,H
the solid doors and the huge debts,3,theAdjBPand,TRUE,TRUE,TRUE,A
rivers,4,BP,FALSE,FALSE,FALSE,G
rivers and rooms,4,BPand,FALSE,TRUE,FALSE,H
broad rivers,4,AdjBP,FALSE,FALSE,TRUE,A
broad rivers and cheery rooms,4,AdjBPand,FALSE,TRUE,TRUE,B
the rivers,4,theBP,TRUE,FALSE,FALSE,C
the rivers and the rooms,4,theBPand,TRUE,TRUE,FALSE,D
the broad rivers,4,theAdjBP,TRUE,FALSE,TRUE,E
the broad rivers and the cheery rooms,4,theAdjBPand,TRUE,TRUE,TRUE,F
journeys,5,BP,FALSE,FALSE,FALSE,C
mirrors and journeys,5,BPand,FALSE,TRUE,FALSE,D
