adj1,n1,adj2,n2
pink,tulips,unprintable,remarks
busy,moms,decorative,rugs
broad,rivers,cheery,rooms
formal,entrances,chaotic,airports
perilous,mistakes,emotional,requests
innocent,smiles,costly,dinners
weak,commanders,athletic,cowgirls
floral,purses,tacky,hotels
delusional,ideas,frosty,kegs
rude,cashiers,circular,frames
orange,rectangles,heroic,daughters
panicky,newspapers,envious,students
sunlit,ponds,green,umbrellas
golden,eggs,horizontal,windows
pricey,sofas,drippy,hoses
sneaky,lawyers,gigantic,trees
breezy,days,woven,napkins
intense,battles,boxy,apartments
ornate,robes,shrunken,mittens
heavy,steaks,automatic,trains
unlucky,astronauts,ominous,stories
white,boulders,rosy,canyons
fake,bones,glossy,cakes
brisk,warehouses,muddy,potatoes
proud,contestants,achy,feet
blind,artists,spicy,pickles
clever,enemies,superb,sunsets
iconic,maps,stretchy,bracelets
enchanted,sisters,reluctant,brides
luminous,bubbles,poisonous,mushrooms
hesitant,thieves,bizarre,questions
steamy,mirrors,blissful,journeys
pale,monuments,disheveled,mobs
unstable,chairs,geometric,boxes
ceramic,squares,gorgeous,flowers
thoughtful,words,untidy,yards
smoky,tunnels,timeless,arguments
new,dads,shameful,lies
inexpensive,guns,active,babies
angry,girls,humble,cabins
untrue,answers,outlandish,diamonds
teenage,nephews,happy,beginnings
hungry,bears,brave,deputies
furry,carpets,suspicious,fires
greasy,cans,nightmarish,fights
feathery,tails,foamy,baths
bridal,gifts,generous,guests
drafty,cathedrals,biblical,movies
fashionable,books,flaky,leaders
salty,crackers,severe,judges
broken,mattresses,big,churches
pleasant,pictures,neat,desks
flawless,photographs,polite,buyers
lonely,doctors,clueless,owners
anxious,boys,portable,keyboards
national,dilemmas,homemade,pizzas
whiny,residents,yellow,candles
stubborn,mysteries,bashful,maids
extravagant,weddings,urban,diseases
delightful,beaches,brown,shingles
gaseous,volcanoes,sick,parents
concrete,prisons,aggressive,squirrels
tribal,daggers,classic,bikes
lovely,colors,evil,ghosts
crummy,chocolates,round,breads
wobbly,knees,puffy,jackets
gluttonous,kings,friendly,games
cute,sandals,successful,teachers
familiar,headaches,wooden,rulers
ghastly,stains,blunt,scissors
fidgety,kids,rectangular,bushes
folksy,shirts,moody,actors
dainty,spoons,bold,strategies
loyal,secretaries,normal,planets
artistic,cities,rich,visitors
intolerant,friends,blue,balloons
red,houses,ridiculous,poems
hasty,funerals,cozy,tables
black,leggings,nerdy,cardigans
talented,stars,sticky,cups
ambitious,husbands,nervous,horses
flat,towns,fiendish,mosquitos
delicate,threads,lengthy,directions
grouchy,bartenders,shabby,buildings
exotic,cheeses,shaky,bridges
energetic,parties,legalistic,brains
grubby,beetles,convenient,banks
meaty,stews,cuddly,sweaters
adaptable,buckles,religious,songs
raw,beets,steep,ladders
heartless,officials,incompetent,chefs
tolerable,odors,typical,winds
solid,doors,huge,debts
healthy,sandwiches,violent,armies
truthful,witnesses,purple,curtains
vivid,lights,dopey,problems
hefty,planes,empty,boats
original,sketches,metallic,pans
intelligent,choices,shiny,floors
crispy,fries,grizzled,detectives
