subject,Label,Preamble,Value,Condition,ItemNumber,Is_definite,Is_modified,Is_coordinated
S[1],filler,Most vivid dreams%2C which transported them to fantastical realms%2C,were written in her diary,filler,quantifier,50,NULL,NA
S[1],filler,Whoever was responsible,needs to speak up,filler,correlative,63,NULL,NA
S[1],trial,The broad rivers and the cheery rooms,reminded him of his youth,theAdjBPand,4,TRUE,TRUE,TRUE
S[1],filler,The movie that mesmerized audiences with its breathtaking visuals,was too long,filler,rc,8,NULL,NA
S[1],filler,Most challenges,are better faced with friends,filler,quantifier,45,NULL,NA
S[1],trial,The answers and the diamonds,were not enough to convince her,theBPand,25,TRUE,FALSE,TRUE
S[1],filler,The city that buzzed with vibrant energy day and night,was suddenly dead during the pandemic,filler,rc,6,NULL,NA
S[1],filler,Were I to be the mayor of College Park%2C,i would fix the damn roads,filler,if,57,NULL,NA
S[1],filler,Within the serene garden oasis,he saw the princess,filler,adjunct,23,NULL,NA
S[1],filler,All stars,twinkle but planets don'tt,filler,quantifier,41,NULL,NA
S[1],trial,The cozy tables,were made from oak,theAdjBP,2,TRUE,TRUE,FALSE
S[1],filler,Whatever happened,to that guy that lives down the street,filler,correlative,61,NULL,NA
S[1],filler,Few opportunities,arise without putting yourself out there,filler,quantifier,43,NULL,NA
S[1],trial,Dinners,are served every weeknight,BP,30,FALSE,FALSE,FALSE
S[1],filler,What to do after,you finish school is the perennial challenge,filler,wh,38,NULL,NA
S[1],filler,Some dreams,are achievable if you try,filler,quantifier,42,NULL,NA
S[1],trial,The doors,are open,theBP,3,TRUE,FALSE,FALSE
S[1],trial,The doors,opened before her,theBP,3,TRUE,FALSE,FALSE
S[1],filler,Many voices,were heard coming from inside the room,filler,quantifier,44,NULL,NA
S[1],trial,Steamy mirrors and blissful journeys,are what you'd expect of an adventure,AdjBPand,5,FALSE,TRUE,TRUE
S[1],filler,The dog that barked incessantly,was suddenly quiet one night,filler,rc,3,NULL,NA
S[1],filler,The Smith family,is a normal family to mos,filler,name,13,NULL,NA
S[1],trial,The guns,were on the table in front of them,theBP,27,TRUE,FALSE,FALSE
S[1],filler,The dynamic duo of Lucy and Max ,is always chaoic,filler,name,16,NULL,NA
S[1],filler,What if you dare,to speak before the queen,filler,wh,40,NULL,NA
S[1],trial,The leggings,were on sale so i bought them,theBP,11,TRUE,FALSE,FALSE
S[1],filler,Wherever the party was,for didn't even show up,filler,correlative,62,NULL,NA
S[1],filler,Were I to save someone from the past%2C,it would make for a good story,filler,if,59,NULL,NA
S[1],trial,Unlucky astronauts and ominous stories,go hand in hand,AdjBPand,13,FALSE,TRUE,TRUE
S[1],filler,Jake%2C Lisa%2C and Alex ,are an unseparable trio,filler,name,19,NULL,NA
S[1],filler,If the world was ruled by cats%2C,it would be a free-for-all,filler,if,55,NULL,NA
S[1],trial,Rugs,%2C when good quality%2C are quite expensive,BP,22,FALSE,FALSE,FALSE
S[1],filler,Underneath the trees,sat the young girl,filler,adjunct,29,NULL,NA
S[1],filler,If I could travel back in time%2C it would be the time when,i was happiesttt,filler,if,56,NULL,NA
S[1],trial,Ponds,are a beautiful place to have a picnic b y,BP,14,FALSE,FALSE,FALSE
S[1],filler,The book that kept me up all night,is on this shelf here,filler,rc,2,NULL,NA
S[1],filler,Were I to open a bakery shop%2C,it would have the best croissants,filler,if,58,NULL,NA
