preamble,itemnum,condition,the,and,adj,group
Scissors,1,BP,FALSE,FALSE,FALSE,A
Stains and scissors,1,BPand,FALSE,TRUE,FALSE,B
Blunt scissors,1,AdjBP,FALSE,FALSE,TRUE,C
Ghastly stains and blunt scissors,1,AdjBPand,FALSE,TRUE,TRUE,D
The scissors,1,theBP,TRUE,FALSE,FALSE,E
The stains and the scissors,1,theBPand,TRUE,TRUE,FALSE,F
The blunt scissors,1,theAdjBP,TRUE,FALSE,TRUE,G
The ghastly stains and the blunt scissors,1,theAdjBPand,TRUE,TRUE,TRUE,H
Tables,2,BP,FALSE,FALSE,FALSE,H
Funerals and tables,2,BPand,FALSE,TRUE,FALSE,A
Cozy tables,2,AdjBP,FALSE,FALSE,TRUE,B
Hasty funerals and cozy tables,2,AdjBPand,FALSE,TRUE,TRUE,C
The tables,2,theBP,TRUE,FALSE,FALSE,D
The funerals and the tables,2,theBPand,TRUE,TRUE,FALSE,E
The cozy tables,2,theAdjBP,TRUE,FALSE,TRUE,F
The hasty funerals and the cozy tables,2,theAdjBPand,TRUE,TRUE,TRUE,G
Doors,3,BP,FALSE,FALSE,FALSE,B
Doors and debts,3,BPand,FALSE,TRUE,FALSE,C
Solid doors,3,AdjBP,FALSE,FALSE,TRUE,D
Solid doors and huge debts,3,AdjBPand,FALSE,TRUE,TRUE,E
The doors,3,theBP,TRUE,FALSE,FALSE,F
The doors and the debts,3,theBPand,TRUE,TRUE,FALSE,G
The solid doors,3,theAdjBP,TRUE,FALSE,TRUE,H
The solid doors and the huge debts,3,theAdjBPand,TRUE,TRUE,TRUE,A
Rivers,4,BP,FALSE,FALSE,FALSE,G
Rivers and rooms,4,BPand,FALSE,TRUE,FALSE,H
Broad rivers,4,AdjBP,FALSE,FALSE,TRUE,A
Broad rivers and cheery rooms,4,AdjBPand,FALSE,TRUE,TRUE,B
The rivers,4,theBP,TRUE,FALSE,FALSE,C
The rivers and the rooms,4,theBPand,TRUE,TRUE,FALSE,D
The broad rivers,4,theAdjBP,TRUE,FALSE,TRUE,E
The broad rivers and the cheery rooms,4,theAdjBPand,TRUE,TRUE,TRUE,F
Journeys,5,BP,FALSE,FALSE,FALSE,C
Mirrors and journeys,5,BPand,FALSE,TRUE,FALSE,D
